dispatch_ts,street,xstreet1,xstreet2,lon,lat
2023-09-10 10:34:40,HANOVER ST,,,-71.05288183108644,42.36572806343412
2023-07-10 22:11:07,,,,-71.05320541276865,42.35606764910959
2023-07-26 16:29:23,,,,-71.03548938162207,42.33816144991679
2023-12-09 23:27:39,MURDOCK ST,,,-71.14567950957913,42.35420822345392
2023-12-23 19:30:44,,,,-71.07201818804987,42.33262014368461
2023-07-11 22:12:06,SARATOGA ST,,,-71.00022328403618,42.38430563556003
2023-04-05 21:51:12,BEACON ST,,,-71.15023394171763,42.336103522191344
2023-07-23 15:20:07,,,,-71.0623881462013,42.36812821267448
2023-10-22 18:19:37,COMMONWEALTH AVE,,,-71.11530283126771,42.35115595860822
2023-10-15 20:12:19,LEVERETT CIR,,,-71.06790196880588,42.3667015364395
2023-12-19 21:50:27,COMMONWEALTH AVE,,,-71.10460030180887,42.349872263996744
2023-10-01 16:47:06,GARDNER ST,,,-71.17734261375803,42.28122490502203
2023-07-17 17:58:49,COMMONWEALTH AVE,,,-71.11388850837422,42.35098401309591
2023-05-30 20:34:15,,,,-71.11218584228173,42.32313375406967
2023-06-22 22:53:02,,,,-71.05132313056424,42.357891207343776
2023-05-21 18:53:28,ALBANY ST,,,-71.06621212021332,42.338683021697406
2023-07-13 15:33:44,,,,-71.07302573256756,42.2984918823191
2023-10-25 01:37:22,COMMONWEALTH AVE,,,-71.13315393225582,42.349529209195666
2023-09-27 11:59:41,,,,-71.07613214568656,42.38570752775754
2023-09-06 21:43:36,LOMASNEY WAY,,,-71.06460061531308,42.36545952874391
2023-07-22 20:55:29,ALBION ST,,,-71.07194597058745,42.321894769442466
2023-07-10 22:58:50,HARRISON AVE,,,-71.06351112193339,42.345317733519785
2023-06-18 18:42:39,SOLDIERS FIELD RD,,,-71.1180401750074,42.36421585766353
2023-10-05 12:56:01,HUNTINGTON AVE,,,-71.11109551286684,42.32962350766265
2023-09-29 13:19:51,,,,-71.05838615349718,42.36366521912647
2023-09-26 11:37:17,,,,-71.05545535989445,42.35908422296376
2023-04-14 12:34:57,NASHUA ST,,,-71.06534351826406,42.36750326093685
2023-11-02 02:46:20,CAMBRIDGE ST,,,-71.13396002665161,42.3550151153352
2023-06-13 18:14:28,,,,-71.10259916930715,42.311440466822106
2023-04-27 21:33:47,DORCHESTER ST,,,-71.05121744062639,42.33279650296991
2023-10-05 01:07:35,NEWTON ST,,,-71.07498230703759,42.34001878841594
2023-09-19 00:43:43,BEACON ST,,,-71.14654382699655,42.355506853502845
2023-03-20 18:42:08,,,,-71.10944377021737,42.35026009795321
2023-10-26 22:14:38,,,,-71.13019940715564,42.35273665382231
2023-07-14 02:06:49,,,,-71.16049110521224,42.34888754508947
